id,acc,label,uri
0a9a3e7a-992d-5c0b-a5cf-fd5d0ad8ed94,80342,TRAF3IP3,https://www.ncbi.nlm.nih.gov/gene/80342
39f27bd0-7992-532e-9dc0-6b966135f172,79080,CCDC86,https://www.ncbi.nlm.nih.gov/gene/79080
86543475-9417-5a56-8043-9d161ae5f61d,55303,GIMAP4,https://www.ncbi.nlm.nih.gov/gene/55303
d8d6e3a3-6900-50aa-a20c-68f961d55705,400569,MED11,https://www.ncbi.nlm.nih.gov/gene/400569
751829a4-d2d1-5b07-b7d2-c319e3513c1f,3228,HOXC12,https://www.ncbi.nlm.nih.gov/gene/3228
7ecaf36f-5114-58eb-aedf-5cb78ee175ae,57666,FBRSL1,https://www.ncbi.nlm.nih.gov/gene/57666
93089f52-8ec6-5f86-958d-490891bc9e6f,26996,GPR160,https://www.ncbi.nlm.nih.gov/gene/26996
3de337d9-c586-574f-bd06-0c07b3533b3f,23518,R3HDM1,https://www.ncbi.nlm.nih.gov/gene/23518
477166a3-05ea-5a7d-84c5-dea949e55749,83604,TMEM47,https://www.ncbi.nlm.nih.gov/gene/83604
c3b83915-8561-51ce-b405-e0e5e003debd,1735,DIO3,https://www.ncbi.nlm.nih.gov/gene/1735
c1d560f8-a49e-525b-8cbe-b4f822c40606,140706,CCM2L,https://www.ncbi.nlm.nih.gov/gene/140706
b287c2d8-0bde-5db3-ad8f-8569689c007a,163259,DENND2C,https://www.ncbi.nlm.nih.gov/gene/163259
3178ee68-2243-55b7-8d90-3ddff53df596,146852,ODF4,https://www.ncbi.nlm.nih.gov/gene/146852
b4b675b6-786b-586d-abcf-f7a1f1904b0f,3855,KRT7,https://www.ncbi.nlm.nih.gov/gene/3855
a138d6db-9138-5274-87ce-6ac3d6a65d84,387640,SKIDA1,https://www.ncbi.nlm.nih.gov/gene/387640
af2e2e23-39c6-5f9b-be31-1d0756067334,24147,FJX1,https://www.ncbi.nlm.nih.gov/gene/24147
72b2b984-1363-5108-a6ae-b00739463b94,79856,SNX22,https://www.ncbi.nlm.nih.gov/gene/79856
8e26b135-728d-5669-abd8-8d9ba077c078,84439,HHIPL1,https://www.ncbi.nlm.nih.gov/gene/84439
7fd64c70-8cac-54c1-b336-224c189ab7cf,56245,C21ORF62,https://www.ncbi.nlm.nih.gov/gene/56245
ccca0c62-822a-556f-8ed3-1218ee25bc2a,131368,ZPLD1,https://www.ncbi.nlm.nih.gov/gene/131368
b516aa85-2d69-5e95-a646-45c892ff25ab,116362,RBP7,https://www.ncbi.nlm.nih.gov/gene/116362
0f6d573f-1f79-5b3b-9a51-0319ca69739a,254863,TMEM256,https://www.ncbi.nlm.nih.gov/gene/254863
6c0db53a-d6f8-550b-b26a-1167164b254c,728215,FAM155A,https://www.ncbi.nlm.nih.gov/gene/728215
33267935-c173-58a7-b2f7-83e99b8e2d0c,148867,SLC30A7,https://www.ncbi.nlm.nih.gov/gene/148867
70f880c1-6bcd-51e8-8544-f64b68d1400c,54834,GDAP2,https://www.ncbi.nlm.nih.gov/gene/54834
a7da41cc-f271-5070-89bb-acd30610757c,284485,RIIAD1,https://www.ncbi.nlm.nih.gov/gene/284485
5aaa7a37-ad7d-5c5b-9f3b-58eb2b0b5fa3,7104,TM4SF4,https://www.ncbi.nlm.nih.gov/gene/7104
